data,PmGdaLeczkow,PmGdaPowWars,PmGdaWyzwole,PmGdyPorebsk,PmGdySzafran,PmSopBiPlowoc
11/5/21 14:00,8.47116,8.98444,4.97767,6.41474,5.52117,5.99081
11/5/21 15:00,6.63924,8.80362,5.1209,8.67085,5.97041,5.65483
11/5/21 16:00,7.87997,9.94253,6.5824,8.92124,6.41545,7.55068
11/5/21 17:00,8.39216,11.9972,5.72766,10.2388,5.94961,7.09085
11/5/21 18:00,8.16591,15.1574,5.55255,10.3432,5.68733,6.46743
11/5/21 19:00,9.87714,17.71,7.04674,9.53722,7.10196,8.00409
11/5/21 20:00,11.0038,14.2818,8.32896,9.24316,7.35265,9.99177
11/5/21 21:00,9.58638,11.1802,7.07659,8.93879,6.68668,7.7465
11/5/21 22:00,7.40619,7.71978,5.16852,8.82841,5.2315,7.37214
11/5/21 23:00,7.28352,6.82445,4.82443,6.08711,5.2473,6.30269
11/6/21 0:00,6.81589,7.38315,4.76101,5.60697,5.30655,6.43093
11/6/21 1:00,6.19376,7.05728,4.39761,5.51414,5.0527,6.20571
11/6/21 2:00,5.22009,5.57208,3.75859,3.99866,4.08995,5.32493
11/6/21 3:00,4.67982,5.06187,3.18518,3.45927,3.32497,4.15089
11/6/21 4:00,3.92405,4.02258,2.79413,3.31729,3.45426,3.83325
11/6/21 5:00,4.60016,4.42614,3.15073,4.19441,3.7384,4.95912
11/6/21 6:00,4.84616,4.95434,3.36293,4.12331,3.75499,5.01241
11/6/21 7:00,4.53169,4.5352,3.41779,4.94337,3.84242,4.55881
11/6/21 8:00,4.83474,4.95105,3.30434,4.5431,3.65545,4.5995
11/6/21 9:00,4.71054,4.54244,3.62582,5.56198,4.03728,4.78934
11/6/21 10:00,4.08446,4.86503,4.2508,4.91396,3.42108,4.30175
11/6/21 11:00,4.06406,6.29646,3.4055,4.95522,3.15591,3.63461
11/6/21 12:00,5.4674,6.43581,4.14876,5.55803,3.9309,4.44817
11/6/21 13:00,8.39369,8.90259,4.76189,6.10884,4.66481,5.74523
11/6/21 14:00,7.71693,8.78014,4.96926,5.56506,5.15066,6.15918
11/6/21 15:00,6.43384,8.0112,4.6774,5.49001,4.83123,6.24347
11/6/21 16:00,7.40773,7.91004,4.67279,7.58833,5.29681,6.99836
11/6/21 17:00,8.75863,10.5925,5.26881,7.27299,5.81794,7.04942
11/6/21 18:00,7.2934,9.61424,5.91858,7.81765,7.51513,7.66939
11/6/21 19:00,7.79966,8.81108,5.84353,9.20805,8.56477,8.37499
11/6/21 20:00,8.83719,9.97677,6.66447,10.3241,9.35635,8.66147
11/6/21 21:00,11.6961,13.0115,8.92716,12.6772,11.8799,11.4031
11/6/21 22:00,13.4299,14.4769,10.2699,13.9981,12.8368,13.0404
11/6/21 23:00,13.049,13.0804,9.5991,13.4436,12.5495,12.8701
11/7/21 0:00,12.0935,12.5298,8.61577,13.2153,12.1938,11.6674
11/7/21 1:00,10.6873,11.0865,7.6263,10.8894,10.4097,10.4049
11/7/21 2:00,10.3327,10.7821,7.78144,9.88701,9.81508,9.74297
11/7/21 3:00,10.0887,10.4843,7.53654,10.271,9.56044,9.55989
11/7/21 4:00,9.95438,10.4896,7.38842,10.6884,9.21837,9.45381
11/7/21 5:00,10.4036,10.3595,9.35025,13.5441,9.72502,9.87714
11/7/21 6:00,10.9417,11.406,12.9601,12.4328,10.3965,10.5418
11/7/21 7:00,12.2428,12.7192,12.4716,12.0075,11.6668,11.2893
11/7/21 8:00,14.4389,15.5713,14.9323,15.7813,13.0836,13.3185
11/7/21 9:00,14.2052,15.0964,14.3545,14.51,12.677,12.9846
11/7/21 10:00,11.516,12.8728,9.53129,13.6904,12.3207,10.4611
11/7/21 11:00,8.52843,9.6871,7.39698,24.3087,10.8171,7.9155
11/7/21 12:00,6.45556,7.30635,5.48957,24.5588,14.1925,5.90842
11/7/21 13:00,7.75555,6.14066,4.25102,8.62016,7.84719,5.12808
11/7/21 14:00,6.34672,7.26926,4.65239,7.98443,6.87022,6.4613
11/7/21 15:00,6.82028,7.25149,4.4742,6.99891,6.0481,6.31621
11/7/21 16:00,7.89599,9.11479,5.01996,6.05771,5.00819,6.36317
11/7/21 17:00,9.1815,10.927,5.63111,12.435,4.6577,7.16568
11/7/21 18:00,8.88569,12.0573,5.20956,6.43976,4.45835,6.49331
11/7/21 19:00,8.01625,10.8703,5.20078,8.85848,4.76171,6.74852
11/7/21 20:00,8.00396,10.9702,5.91661,7.4108,4.63031,6.86131
11/7/21 21:00,6.62168,7.99913,4.99735,6.37941,4.69746,6.03862
11/7/21 22:00,5.52819,6.92934,4.42438,5.60192,4.14788,4.88588
11/7/21 23:00,5.33991,6.49001,3.95675,5.13758,4.41833,5.22667
11/8/21 0:00,5.8319,6.77749,4.19067,5.43536,4.93104,5.84199
11/8/21 1:00,5.24752,6.16194,3.73686,4.31378,4.08521,5.23808
11/8/21 2:00,4.64558,5.85231,3.1786,3.61792,3.5251,4.17882
11/8/21 3:00,5.36053,6.20298,3.59532,3.5804,4.3625,4.84857
11/8/21 4:00,5.24379,5.65942,3.5804,2.99558,3.67151,4.64953
11/8/21 5:00,4.37435,5.60477,3.12944,3.09916,3.3326,3.66357
11/8/21 6:00,3.81872,4.8512,3.22731,3.21744,3.37948,3.52225
11/8/21 7:00,4.93525,5.59841,3.31136,4.11365,4.42807,3.7237
11/8/21 8:00,6.47334,8.0191,4.43579,4.45533,5.76133,5.23128
11/8/21 9:00,5.81917,8.77597,2.67212,3.65194,3.25861,3.30961
11/8/21 10:00,4.02587,5.08886,1.98701,3.82135,3.60278,2.94028
11/8/21 11:00,6.53654,6.14132,2.14896,3.34406,3.82161,4.58085
11/8/21 12:00,4.46783,5.87206,2.48054,4.5453,4.57159,4.58019
11/8/21 13:00,5.41803,5.67149,2.38136,3.36469,4.71563,5.10093
11/8/21 14:00,5.70726,6.10664,2.03858,3.49438,4.70826,4.54639
11/8/21 15:00,3.87424,5.61026,2.05307,3.1944,4.45124,4.7011
11/8/21 16:00,5.86372,6.99715,2.18122,3.84373,4.92893,6.40641
11/8/21 17:00,5.1514,8.70311,2.12526,10.5366,7.04508,6.30019
11/8/21 18:00,13.3872,15.4925,2.27317,17.9228,14.42,12.8394
11/8/21 19:00,21.9137,23.8257,2.22138,15.4109,21.6301,22.3545
11/8/21 20:00,15.708,18.1107,3.09104,10.16,19.1236,17.0872
11/8/21 21:00,15.6081,10.5063,2.61221,4.87315,20.2175,15.2042
11/8/21 22:00,21.2843,17.0021,2.17135,5.09369,13.4852,11.3544
11/8/21 23:00,15.7486,15.4809,2.21677,12.8148,13.0783,9.16087
